country,passengers_total,freight_total_tonnes,mail_total_tonnes,route,month_year_dt
New Zealand,2498,60.871,1.235,Adelaide-Auckland,1985-01-01
Bahrain,17,0.033,0.0,Adelaide-Bahrain,1985-01-01
India,12,0.0,0.0,Adelaide-Bombay,1985-01-01
Germany,286,0.009,0.248,Adelaide-Frankfurt,1985-01-01
Uk,3039,13.418,2.487,Adelaide-London,1985-01-01
Oman,31,0.1,0.0,Adelaide-Muscat,1985-01-01
Italy,123,0.005,0.0,Adelaide-Rome,1985-01-01
Singapore,4533,170.548,0.112,Adelaide-Singapore,1985-01-01
United Arab Emirates,3,0.0,0.0,Brisbane-Abu Dhabi,1985-01-01
New Zealand,12809,256.29,3.889,Brisbane-Auckland,1985-01-01
Bahrain,27,0.149,0.0,Brisbane-Bahrain,1985-01-01
Thailand,1037,11.741,0.0,Brisbane-Bangkok,1985-01-01
India,89,0.002,0.083,Brisbane-Bombay,1985-01-01
New Zealand,5205,145.874,0.256,Brisbane-Christchurch,1985-01-01
Germany,283,0.021,0.677,Brisbane-Frankfurt,1985-01-01
Hong Kong,3074,48.302,0.014,Brisbane-Hong Kong,1985-01-01
Solomon Islands,1152,15.549,0.0,Brisbane-Honiara,1985-01-01
Usa,654,7.051,0.0,Brisbane-Honolulu,1985-01-01
Malaysia,83,0.2,0.0,Brisbane-Kuala Lumpur,1985-01-01
Uk,3202,6.161,3.454,Brisbane-London,1985-01-01
Usa,57,2.796,0.0,Brisbane-Los Angeles,1985-01-01
Philippines,1805,16.031,0.127,Brisbane-Manila,1985-01-01
Oman,4,0.0,0.0,Brisbane-Muscat,1985-01-01
Fiji,1339,9.034,0.0,Brisbane-Nadi,1985-01-01
New Caledonia,631,0.415,0.0,Brisbane-Noumea,1985-01-01
Papua New Guinea,3928,53.45,3.091,Brisbane-Port Moresby,1985-01-01
Vanuatu,687,3.1,0.0,Brisbane-Port Vila,1985-01-01
Italy,72,0.012,0.113,Brisbane-Rome,1985-01-01
Usa,773,1.716,1.538,Brisbane-San Francisco,1985-01-01
Singapore,4593,102.371,0.221,Brisbane-Singapore,1985-01-01
Fiji,129,0.337,0.0,Brisbane-Suva,1985-01-01
Japan,920,8.798,0.212,Brisbane-Tokyo,1985-01-01
Canada,228,1.439,0.467,Brisbane-Vancouver,1985-01-01
New Zealand,2261,50.581,0.645,Brisbane-Wellington,1985-01-01
Usa,431,0.549,0.0,Cairns-Honolulu,1985-01-01
Usa,22,0.0,0.0,Cairns-Los Angeles,1985-01-01
Papua New Guinea,1932,10.933,0.0,Cairns-Port Moresby,1985-01-01
Usa,504,1.124,0.0,Cairns-San Francisco,1985-01-01
Canada,123,0.456,0.0,Cairns-Vancouver,1985-01-01
New Zealand,487,5.738,0.031,Darwin-Auckland,1985-01-01
Bahrain,5,0.0,0.0,Darwin-Bahrain,1985-01-01
Brunei,598,1.989,0.0,Darwin-Bandar Seri Begawan,1985-01-01
India,5,0.0,0.0,Darwin-Bombay,1985-01-01
Indonesia,1427,0.732,0.0,Darwin-Denpasar,1985-01-01
Germany,58,0.0,0.013,Darwin-Frankfurt,1985-01-01
Indonesia,93,0.186,0.0,Darwin-Jakarta,1985-01-01
Uk,243,0.075,0.078,Darwin-London,1985-01-01
Italy,28,0.025,0.008,Darwin-Rome,1985-01-01
Singapore,1835,7.873,0.033,Darwin-Singapore,1985-01-01
New Zealand,1789,8.007,0.095,Hobart-Christchurch,1985-01-01
United Arab Emirates,19,0.0,0.0,Melbourne-Abu Dhabi,1985-01-01
Netherlands,1489,13.546,3.669,Melbourne-Amsterdam,1985-01-01
Greece,2657,22.475,4.128,Melbourne-Athens,1985-01-01
New Zealand,11367,355.08,4.525,Melbourne-Auckland,1985-01-01
Bahrain,117,9.748,1.063,Melbourne-Bahrain,1985-01-01
Brunei,126,8.0,0.0,Melbourne-Bandar Seri Begawan,1985-01-01
Thailand,4311,209.412,0.418,Melbourne-Bangkok,1985-01-01
China,1040,2.607,0.0,Melbourne-Beijing,1985-01-01
Yugoslavia,2103,38.645,0.168,Melbourne-Belgrade,1985-01-01
India,478,8.999,0.717,Melbourne-Bombay,1985-01-01
New Zealand,6529,141.152,1.595,Melbourne-Christchurch,1985-01-01
Sri Lanka,326,3.427,0.0,Melbourne-Colombo,1985-01-01
Indonesia,6438,3.799,0.0,Melbourne-Denpasar,1985-01-01
United Arab Emirates,46,150.899,0.0,Melbourne-Dubai,1985-01-01
Germany,2210,749.89,7.834,Melbourne-Frankfurt,1985-01-01
Hong Kong,10743,472.376,2.653,Melbourne-Hong Kong,1985-01-01
Usa,3812,45.127,0.21,Melbourne-Honolulu,1985-01-01
Usa,17,0.0,0.0,Melbourne-Houston,1985-01-01
Indonesia,1475,219.241,0.394,Melbourne-Jakarta,1985-01-01
Malaysia,5223,276.778,0.659,Melbourne-Kuala Lumpur,1985-01-01
Cyprus,23,0.0,0.0,Melbourne-Larnaca,1985-01-01
Uk,5712,157.767,16.912,Melbourne-London,1985-01-01
Usa,4061,410.593,0.168,Melbourne-Los Angeles,1985-01-01
Uk,790,31.842,0.0,Melbourne-Manchester,1985-01-01
Philippines,4360,103.431,0.15,Melbourne-Manila,1985-01-01
Mauritius,29,19.512,0.0,Melbourne-Mauritius,1985-01-01
Oman,309,47.6,0.0,Melbourne-Muscat,1985-01-01
Fiji,4679,83.465,1.262,Melbourne-Nadi,1985-01-01
Nauru,139,20.941,0.0,Melbourne-Nauru,1985-01-01
Usa,74,0.335,0.0,Melbourne-New York,1985-01-01
New Caledonia,1178,12.047,0.099,Melbourne-Noumea,1985-01-01
Tahiti,422,26.469,0.0,Melbourne-Papeete,1985-01-01
Vanuatu,299,8.277,0.0,Melbourne-Port Vila,1985-01-01
Italy,2985,73.427,2.358,Melbourne-Rome,1985-01-01
Usa,1850,120.946,14.499,Melbourne-San Francisco,1985-01-01
Singapore,15312,811.981,5.048,Melbourne-Singapore,1985-01-01
Japan,561,57.454,2.296,Melbourne-Tokyo,1985-01-01
Canada,174,0.181,1.016,Melbourne-Vancouver,1985-01-01
New Zealand,3797,70.827,3.899,Melbourne-Wellington,1985-01-01
New Zealand,913,9.828,0.41,Norfolk Island-Auckland,1985-01-01
New Zealand,4183,60.734,0.0,Perth-Auckland,1985-01-01
Bahrain,55,13.84,0.0,Perth-Bahrain,1985-01-01
Thailand,1486,26.994,0.117,Perth-Bangkok,1985-01-01
India,1112,9.55,0.194,Perth-Bombay,1985-01-01
Indonesia,5148,40.266,0.044,Perth-Denpasar,1985-01-01
Germany,336,0.207,0.329,Perth-Frankfurt,1985-01-01
Zimbabwe,715,3.662,0.073,Perth-Harare,1985-01-01
Hong Kong,4332,136.152,0.152,Perth-Hong Kong,1985-01-01
Usa,60,0.0,0.003,Perth-Honolulu,1985-01-01
Indonesia,1013,88.172,0.0,Perth-Jakarta,1985-01-01
South Africa,618,13.803,0.0,Perth-Johannesburg,1985-01-01
Malaysia,4119,237.337,0.401,Perth-Kuala Lumpur,1985-01-01
Uk,6024,22.011,8.362,Perth-London,1985-01-01
Mauritius,93,0.215,0.0,Perth-Mauritius,1985-01-01
Oman,15,7.0,0.0,Perth-Muscat,1985-01-01
Italy,387,0.185,0.312,Perth-Rome,1985-01-01
Usa,147,0.069,1.198,Perth-San Francisco,1985-01-01
Singapore,14780,1023.829,2.026,Perth-Singapore,1985-01-01
Japan,90,16.665,0.262,Perth-Tokyo,1985-01-01
Indonesia,308,0.0,0.0,Port Hedland-Denpasar,1985-01-01
United Arab Emirates,433,37.0,0.0,Sydney-Abu Dhabi,1985-01-01
Netherlands,1870,47.129,3.816,Sydney-Amsterdam,1985-01-01
Western Samoa,738,2.788,0.0,Sydney-Apia,1985-01-01
Greece,3126,40.143,3.497,Sydney-Athens,1985-01-01
New Zealand,48778,1593.546,47.842,Sydney-Auckland,1985-01-01
Bahrain,401,24.367,1.713,Sydney-Bahrain,1985-01-01
Brunei,117,48.3,0.0,Sydney-Bandar Seri Begawan,1985-01-01
Thailand,4964,187.99,1.602,Sydney-Bangkok,1985-01-01
China,2321,17.745,0.184,Sydney-Beijing,1985-01-01
Yugoslavia,2619,45.547,0.98,Sydney-Belgrade,1985-01-01
India,2438,60.162,1.572,Sydney-Bombay,1985-01-01
New Zealand,16179,351.687,5.188,Sydney-Christchurch,1985-01-01
Sri Lanka,343,5.943,0.0,Sydney-Colombo,1985-01-01
Indonesia,5658,39.045,0.033,Sydney-Denpasar,1985-01-01
United Arab Emirates,268,73.886,0.0,Sydney-Dubai,1985-01-01
Germany,3011,153.597,10.999,Sydney-Frankfurt,1985-01-01
China,1293,2.161,0.0,Sydney-Guangzhou,1985-01-01
Zimbabwe,1664,7.744,0.196,Sydney-Harare,1985-01-01
Hong Kong,16560,596.995,4.451,Sydney-Hong Kong,1985-01-01
Usa,11262,142.046,0.719,Sydney-Honolulu,1985-01-01
Usa,62,0.0,0.0,Sydney-Houston,1985-01-01
Indonesia,5181,191.265,1.335,Sydney-Jakarta,1985-01-01
South Africa,1741,28.899,0.0,Sydney-Johannesburg,1985-01-01
Malaysia,5157,301.945,1.568,Sydney-Kuala Lumpur,1985-01-01
Cyprus,34,0.0,0.0,Sydney-Larnaca,1985-01-01
Uk,10687,427.505,22.141,Sydney-London,1985-01-01
Usa,12349,1098.87,0.362,Sydney-Los Angeles,1985-01-01
Uk,982,12.129,0.276,Sydney-Manchester,1985-01-01
Philippines,6525,267.569,1.485,Sydney-Manila,1985-01-01
Mauritius,291,8.176,0.0,Sydney-Mauritius,1985-01-01
Oman,371,29.7,0.0,Sydney-Muscat,1985-01-01
Fiji,12953,185.087,0.176,Sydney-Nadi,1985-01-01
Nauru,118,3.267,0.0,Sydney-Nauru,1985-01-01
Usa,251,3.615,0.0,Sydney-New York,1985-01-01
New Caledonia,4350,105.402,0.423,Sydney-Noumea,1985-01-01
Tahiti,2545,26.684,0.943,Sydney-Papeete,1985-01-01
France,848,19.979,0.0,Sydney-Paris,1985-01-01
Papua New Guinea,5122,123.767,11.287,Sydney-Port Moresby,1985-01-01
Vanuatu,2085,0.729,0.0,Sydney-Port Vila,1985-01-01
Italy,3309,82.034,4.47,Sydney-Rome,1985-01-01
Usa,6104,235.925,26.559,Sydney-San Francisco,1985-01-01
Singapore,23899,865.389,10.71,Sydney-Singapore,1985-01-01
Japan,11942,499.098,20.479,Sydney-Tokyo,1985-01-01
Canada,2653,43.671,1.216,Sydney-Vancouver,1985-01-01
New Zealand,8237,149.034,9.317,Sydney-Wellington,1985-01-01
New Zealand,1296,18.357,0.0,Townsville-Auckland,1985-01-01
Bahrain,1,0.216,0.0,Townsville-Bahrain,1985-01-01
Germany,36,0.0,0.0,Townsville-Frankfurt,1985-01-01
Uk,246,0.729,0.0,Townsville-London,1985-01-01
Italy,19,0.0,0.0,Townsville-Rome,1985-01-01
Singapore,750,5.749,0.0,Townsville-Singapore,1985-01-01
New Zealand,1835,118.191,1.26,Adelaide-Auckland,1985-02-01
Bahrain,19,0.0,0.0,Adelaide-Bahrain,1985-02-01
India,8,0.018,0.0,Adelaide-Bombay,1985-02-01
Germany,381,0.021,0.244,Adelaide-Frankfurt,1985-02-01
Uk,2191,26.193,2.257,Adelaide-London,1985-02-01
Oman,8,1.4,0.0,Adelaide-Muscat,1985-02-01
Italy,166,0.084,0.0,Adelaide-Rome,1985-02-01
Singapore,3207,269.765,0.303,Adelaide-Singapore,1985-02-01
United Arab Emirates,63,1.2,0.0,Brisbane-Abu Dhabi,1985-02-01
New Zealand,8622,319.329,3.441,Brisbane-Auckland,1985-02-01
Bahrain,15,1.144,0.0,Brisbane-Bahrain,1985-02-01
Thailand,820,18.188,0.0,Brisbane-Bangkok,1985-02-01
India,79,0.001,0.091,Brisbane-Bombay,1985-02-01
New Zealand,3570,201.715,0.234,Brisbane-Christchurch,1985-02-01
Germany,282,0.026,0.595,Brisbane-Frankfurt,1985-02-01
Hong Kong,2526,46.338,0.011,Brisbane-Hong Kong,1985-02-01
Solomon Islands,739,13.447,0.0,Brisbane-Honiara,1985-02-01
Usa,332,8.281,0.0,Brisbane-Honolulu,1985-02-01
Malaysia,91,3.4,0.0,Brisbane-Kuala Lumpur,1985-02-01
Uk,1958,42.731,3.152,Brisbane-London,1985-02-01
Usa,57,5.798,0.0,Brisbane-Los Angeles,1985-02-01
Philippines,1850,23.293,0.132,Brisbane-Manila,1985-02-01
Oman,3,0.0,0.0,Brisbane-Muscat,1985-02-01
Fiji,946,6.596,0.0,Brisbane-Nadi,1985-02-01
